Tue Oct 10 10:28:08 2017 EVMX SNAP-X.ini, CALIBRATION_RETICLE_SERIAL, ,  Reset Lens Data
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, INCLINATION2,    INC,    INC OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, PROFILE_PLUS,    PRP,    PRP OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, PROFILE_MINUS,    PRM,    PRM OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MAX_DIAMETER,    MXD,    MXD OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MIN_DIAMETER,    MID,    MID OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MAX_RADIUS,    MXR,    MXR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MIN_RADIUS,    MIR,    MIR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, ANGULARITY,    DST,    DST OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, PERPENDICULARITY,    PER,    PER OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, PARALLELISM,    PAR,    PAR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, RESULT,    RES,    RES OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, HEIGHT_DEPTH,    PHD,    PHD OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, USER_INPUT,    INP,    INP OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, TRUE_POS,    POS,    POS OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MANUAL_TEXT,    TXT,    TXT OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, LENGTH,    LEN,    LEN OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, AREA,    ARE,    ARE OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CYLINDRICITY,    CYL,    CYL OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CONICITY,    CNC,    CNC OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MIN_RADIAL_DIST,    MNR,    MNR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, MAX_RADIAL_DIST,    MXR,    MXR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, PERIMETER,    PMR,    PMR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CENTROID_AREA,    BAR,    BAR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, FULL_ANGLE,    FTA,    FTA OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, HALF_ANGLE,    HTA,    HTA OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CONE_DIAMETER,    CND,    CND OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CONE_RADIUS,    CNR,    CNR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CYLINDER_DIAMETER,    CYD,    CYD OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CYLINDER_RADIUS,    CYR,    CYR OGPuiConfigureOutputTags2Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CONE_RADIUS,    CNR,    CNR OGPuiConfigureOutputTags3Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CYLINDER_DIAMETER,    CYD,    CYD OGPuiConfigureOutputTags3Page
Wed Oct 18 12:43:03 2017 EVMX Configuration.ini, CYLINDER_RADIUS,    CYR,    CYR OGPuiConfigureOutputTags3Page
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:47:18 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:52:40 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:52:40 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:52:40 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:52:40 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:52:40 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:52:40 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_TEMPLATE, @D@,@P^J, @D@,@P^J Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_EOM, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_EOT, ,  Configure Output Statistics
Wed Oct 18 12:52:45 2017 EVMX Configuration.ini, STATS_DEFAULT_FILE_EXTENSION, STA, STA Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_BOR, ,  Configure Output Statistics
Wed Oct 18 12:53:24 2017 EVMX Configuration.ini, STATS_BOF, ,  Configure Output Statistics
